*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*
2017-12-04 16:27:54:063836,Reading speed:,0.06with0.06delay
2017-12-04 16:27:54:063908,Instruction:,"NumberOfStart:
1
ChildName:
test
HandMoveSpeed:
0.06
ReadDelay:
0
ReadSpeed:
80
ReactionDelay:
1
HandPoint:




# Hand move speed and read delay possible combinations 

Beginner Level: 0.05 0.1 0.7 1


Medium Level: 0.06 0.1 85 1 

2017-12-04 16:28:26:617262,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:716196,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:716632,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:716763,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:816623,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:817544,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:26:817965,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:913253,Detected ARTags: ,"30, 31"
2017-12-04 16:28:26:914922,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:26:915182,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:27:005796,Detected ARTags: ,"30, 31"
2017-12-04 16:28:27:006060,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:27:006257,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:27:112376,Detected ARTags: ,"30, 31"
2017-12-04 16:28:27:112763,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:27:113020,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:27:213083,Detected ARTags: ,"30, 31"
2017-12-04 16:28:27:213748,Current State of Reading: ,Waiting for Red-card
2017-12-04 16:28:27:214045,Detected ARTags: ,"[30, 31]"
2017-12-04 16:28:27:313554,Detected ARTags: ,"30, 31"
